			Symbol				Name				Sector				industry	
{	Symbol	":"""	YONG	"""xqxq"	Name	":"""	"Yongye International, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	RTK	"""xqxq"	Name	":"""	"Rentech, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	AGU	"""xqxq"	Name	":"""	Agrium Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	AVD	"""xqxq"	Name	":"""	American Vanguard Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	CF	"""xqxq"	Name	":"""	"CF Industries Holdings, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	CGA	"""xqxq"	Name	":"""	"China Green Agriculture, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	UAN	"""xqxq"	Name	":"""	"CVR Partners, LP"	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	MON	"""xqxq"	Name	":"""	Monsanto Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	MOS	"""xqxq"	Name	":"""	Mosaic Company (The)	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	POT	"""xqxq"	Name	":"""	Potash Corporation of Saskatchewan Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	RNF	"""xqxq"	Name	":"""	"Rentech Nitrogen Partners, L.P."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	SMG	"""xqxq"	Name	":"""	Scotts Miracle-Gro Company (The)	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	SYT	"""xqxq"	Name	":"""	Syngenta AG	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	TNH	"""xqxq"	Name	":"""	"Terra Nitrogen Company, L.P."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Agricultural Chemicals	}xqxq
{	Symbol	":"""	CENX	"""xqxq"	Name	":"""	Century Aluminum Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Aluminum	}xqxq
